"lon","lat","Number","Water.Depth","Latitude","Longitude","Region","Abundance","Species","Genus","Total","ER","a488","bb488","Zeu","PAR","Tvis","a488_buffer","bb488_buffer","Zeu_buffer","PAR_buffer","Tvis_buffer","Tvis_PAR"
1906792.54935261,-321150.289038971,895,10,72.33889,80.43972,"Kara",0,0,0,3,"0",0.145500059479673,0.00506000400491757,5.20500345993787,19.1739977996331,0.118013006268753,0.145500059479673,0.00506000400491757,5.20500345993787,19.1739977996331,0.118013006268753,2.26278112252516
964464.092037542,1623571.84197854,911,10,72.74583,149.28806,"Laptev",0,0,0,5,"0",0.322800055000698,0.0333700032897468,6.09500344004482,19.6539978224318,0.0128233747046093,0.322800055000698,0.0333700032897468,6.09500344004482,19.6539978224318,0.0128233747046093,0.252030578520618
-617168.152103208,2352505.07150213,83,10.05,67.8833333,-165.3,"Chukchi",0,0,0,1,"0",0.123600060032913,0.00922500389970082,20.9750031074509,26.7099981575739,0.120605910831671,0.123600060032913,0.00922500389970082,20.9750031074509,26.7099981575739,0.120605910831671,3.22138365610645
-1236480.12171735,1747636.7046236,212,10.2,70.48,-144.72,"Beaufort",0.183673469,0.416666667,0.4,49,"0.25-0.5",0.065000061513274,0.00550500399367593,36.4850027607754,25.1119980816729,0.239128895536704,0.065000061513274,0.00550500399367593,36.4850027607754,25.1119980816729,0.239128895536704,6.00500436599027
402646.303203972,2287255.47297546,1049,10.4,68.85867,170.016,"Siberian",0.286036036,0.153846154,0.166666667,444,"0-0.25",0.266800056415377,0.0219350035786192,10.7600033357739,27.2439981829375,0.0239655020493454,0.266800056415377,0.0219350035786192,10.7600033357739,27.2439981829375,0.0239655020493454,0.652916094285552
-1122896.85243337,1819545.29127931,224,10.5,70.504,-148.32,"Beaufort",0.489795918,0.285714286,0.285714286,49,"0.25-0.5",0.148300059408939,0.0225600035628304,12.1000033058226,17.7639977326617,0.0541145811161264,0.148300059408939,0.0225600035628304,12.1000033058226,17.7639977326617,0.0541145811161264,0.961291296250805
-674796.02309928,2046513.03571869,387,10.8,70.35409,-161.75108,"Chukchi",0.04601227,0.166666667,0.166666667,326,"0-0.25",0.146900059444306,0.0166250037127611,15.4950032299384,25.1279980824329,0.0640399690233639,0.146900059444306,0.0166250037127611,15.4950032299384,25.1279980824329,0.0640399690233639,1.60919621881815
-2359602.96291249,-2215814.67108699,338,11,60.83,-46.8,"Baffin",0.971698113,0.714285714,0.6,106,"0.5-0.75",0.0832000610535033,0.0139200037810951,NA,30.0419983158354,0.126207703470761,0.0832000610535033,0.0139200037810951,39.1817071571061,30.0419983158354,0.126207703470761,3.79153161511404
374150.978707977,2256072.11522005,1051,11,69.17533,170.58367,"Siberian",0.01217656,0.111111111,0.125,657,"0-0.25",0.240500057079771,0.0181850036733522,12.4800032973289,29.403998285532,0.0275779458652821,0.240500057079771,0.0181850036733522,12.4800032973289,29.403998285532,0.0275779458652821,0.810901872941249
373675.77535003,2217028.65458782,1054,11,69.5195,170.43283,"Siberian",0.050535988,0.2,0.222222222,3918,"0-0.25",0.236800057173241,0.018430003667163,11.42500332091,30.5079983379692,0.0280473700956696,0.236800057173241,0.018430003667163,11.42500332091,30.5079983379692,0.0280473700956696,0.855669120263094
-1082973.11045494,1834640.64811792,216,11,70.573,-149.447,"Beaufort",0.054726368,0.266666667,0.266666667,402,"0.25-0.5",0.178400058648549,0.0254250034904544,8.95500337611884,18.9199977875687,0.0330867381389108,0.178400058648549,0.0254250034904544,8.95500337611884,18.9199977875687,0.0330867381389108,0.626001012386058
1368744.16017598,1467798.40940173,595,11,71.68,137,"Laptev",1,1,1,23,"0.75-1",0.652700046666723,0.0320900033220823,4.66000347211957,24.0679980320856,0.0014123582339308,0.652700046666723,0.0320900033220823,4.66000347211957,24.0679980320856,0.0014123582339308,0.0339926351948463
1944688.20424913,-287166.569831625,861,11,72.05,81.6,"Kara",0,0,0,3,"0",0.485400050893077,0.0108400038589025,5.04000346362591,19.6659978230018,0.00801116983939692,0.485400050893077,0.0108400038589025,5.04000346362591,19.6659978230018,0.00801116983939692,0.157547648621278
1909800.66983825,-335718.421414987,812,11,72.29,80.03,"Kara",1,1,1,1,"0.75-1",0.647900046787981,0.0185500036641315,4.11500348430127,19.0899977956433,0.00248477042833997,0.647900046787981,0.0185500036641315,4.11500348430127,19.0899977956433,0.00248477042833997,0.0474342619996897
1843042.78917396,-587008.873232254,891,11,72.33333,72.33333,"Kara",0,0,0,82,"0",NA,NA,NA,NA,NA,0.752326401417901,0.0224002268593361,4.51728381003765,18.8833012782015,0.00127075505699837,0.0239960505920984
1821531.21083623,-374799.302606489,894,11,73.00472,78.37306,"Kara",0.052631579,0.166666667,0.2,38,"0-0.25",0.212000057799742,0.00926000389881665,8.91500337701291,21.2539978984278,0.0485684773087295,0.212000057799742,0.00926000389881665,8.91500337701291,21.2539978984278,0.0485684773087295,1.03227431464957
690244.639416202,-2124354.56335471,660,12,69.65,18,"Barents",0.289527721,0.3,0.285714286,487,"0.25-0.5",0.0952000607503578,0.00489500400908582,26.6250029811636,27.9039982142858,0.138246143128036,0.0952000607503578,0.00489500400908582,26.6250029811636,27.9039982142858,0.138246143128036,3.85762013097661
-1645277.29921546,1440331.39582026,190,12,70.07,-131.2,"Beaufort",0.098901099,0.153846154,0.2,364,"0-0.25",0.216100057696167,0.0279450034267938,8.40000338852406,26.3079981384799,0.0162661422092779,0.216100057696167,0.0279450034267938,8.40000338852406,26.3079981384799,0.0162661422092779,0.427929638961931
-1004959.39925315,1858090.90460254,839,12,70.734,-151.593,"Beaufort",0.032258065,0.2,0.2,31,"0-0.25",0.162700059045164,0.024530003513064,9.8950033551082,16.5819976765197,0.0297873652778722,0.162700059045164,0.024530003513064,9.8950033551082,16.5819976765197,0.0297873652778722,0.49393402182732
